rank,stock,score
1,3042.TW,0.711
2,2484.TW,0.706
3,6451.TW,0.703
4,2454.TW,0.701
5,2303.TW,0.7
6,2345.TW,0.697
7,6285.TW,0.6953
8,6197.TW,0.693
9,3048.TW,0.69
10,3711.TW,0.69
11,2327.TW,0.689
12,1809.TW,0.687
13,6257.TW,0.6865
14,8926.TW,0.685
15,3033.TW,0.6846
16,6415.TW,0.682
17,2881.TW,0.681
18,6209.TW,0.679
19,3037.TW,0.6787
20,2351.TW,0.678
21,8046.TW,0.678
22,2377.TW,0.678
23,2368.TW,0.6777
24,3167.TW,0.6772
25,2883.TW,0.677
26,6278.TW,0.6763
27,2855.TW,0.6753
28,3583.TW,0.675
29,8210.TW,0.6743
30,2885.TW,0.673
31,2409.TW,0.673
32,2049.TW,0.671
33,6669.TW,0.6704
34,2312.TW,0.668
35,6672.TW,0.6675
36,4958.TW,0.666
37,2308.TW,0.665
38,2472.TW,0.6646
39,6531.TW,0.6636
40,2408.TW,0.6636
41,3673.TW,0.662
42,2464.TW,0.6606
43,2301.TW,0.66
44,2467.TW,0.6597
45,8150.TW,0.659
46,8996.TW,0.659
47,4906.TW,0.6587
48,3450.TW,0.6587
49,2395.TW,0.656
50,6446.TW,0.6553
